Player,Team,Position,Wild Card,Divisional,Championship,Super Bowl,Total
K.Kinchens,LA,DB,2.5,0.0,0.0,0.0,2.5
R.Spillane,NE,LB,7.0,0.0,0.0,0.0,7.0
K.Byard,CHI,DB,3.5,0.0,0.0,0.0,3.5
J.Hawkins,NE,DB,2.0,0.0,0.0,0.0,2.0
J.Brown,SF,DB,3.0,0.0,0.0,0.0,3.0
A.Wingard,JAX,DB,3.5,0.0,0.0,0.0,3.5
R.Moss,DEN,DB,0.0,3.5,0.0,0.0,3.5
K.Chaisson,NE,LB,19.5,0.0,0.0,0.0,19.5
D.Henley,LAC,LB,21.0,0.0,0.0,0.0,21.0
D.Lawrence,SEA,LB,0.0,24.0,0.0,0.0,24.0
U.Stout,SF,DB,7.0,1.5,0.0,0.0,8.5
G.Dexter,CHI,DL,1.0,0.0,0.0,0.0,1.0
C.Durant,LA,DB,14.0,0.0,0.0,0.0,14.0
E.Williams,GB,DB,6.5,0.0,0.0,0.0,6.5
D.Lenoir,SF,DB,8.5,2.5,0.0,0.0,11.0
P.Nacua,LA,WR,29.5,0.0,0.0,0.0,29.5
B.Purdy,SF,QB,16.38,4.3,0.0,0.0,20.68
T.Henderson,NE,RB,4.1,0.0,0.0,0.0,4.1
P.Washington,JAX,WR,20.4,0.0,0.0,0.0,20.4
Z.Charbonnet,SEA,RB,0.0,2.0,0.0,0.0,2.0
K.Gainwell,PIT,RB,11.6,0.0,0.0,0.0,11.6
C.Loveland,CHI,TE,19.7,0.0,0.0,0.0,19.7
D.Moore,CHI,WR,14.9,0.0,0.0,0.0,14.9
D.Douglas,NE,WR,0.8,0.0,0.0,0.0,0.8
P.Bryant,DEN,WR,0.0,4.7,0.0,0.0,4.7
C.Hubbard,CAR,RB,18.9,0.0,0.0,0.0,18.9
C.Kirk,HOU,WR,24.4,0.0,0.0,0.0,24.4
Offense,,,160.68,11.0,0.0,0.0,171.68
Defense,,,99.0,31.5,0.0,0.0,130.5
Total,,,259.68,42.5,0.0,0.0,302.18
